sample_id,y,year,gugun_cd,lat,lon,is_yeongdeungpo,highway_class_base,nearest_segment_dist_m,segment_length_km,school_zone_count_300m,nearest_school_zone_dist_m,log_nearest_school_zone_dist,cctv_count_300m,mean_road_width,blackspot_count_500m,mean_occrrnc_500m,occrrnc_cnt,link_id,highway,name
pos-2022-6836455,1,2022,110,37.5753745,126.9756748,0,0.34,6602.27,0.6653,0,498.55,6.2137,0,0.0,2,43.0,38,3501814,trunk,섬유도로
pos-2022-6836456,1,2022,110,37.5704324,127.0094282,0,0.34,8608.87,0.6653,0,420.77,6.0445,0,0.0,1,36.0,34,3501814,trunk,섬유도로
pos-2022-6836457,1,2022,110,37.585073,127.0010194,0,0.34,8957.08,0.6653,1,266.57,5.5894,1,35.0,0,0.0,31,3501814,trunk,섬유도로
pos-2022-6836460,1,2022,140,37.5558995,126.9726791,0,0.34,5000.01,0.6653,0,436.53,6.0811,0,0.0,1,36.0,46,3501814,trunk,섬유도로
pos-2022-6836461,1,2022,140,37.5545917,127.0106902,0,0.34,7985.41,0.6653,5,136.32,4.9223,14,7.8,1,33.0,30,3501814,trunk,섬유도로
pos-2022-6836462,1,2022,140,37.560679,126.9817095,0,0.34,5956.91,0.6653,1,249.44,5.5232,1,6.0,3,38.333,30,3501814,trunk,섬유도로
pos-2022-6836465,1,2022,170,37.5330118,127.0064207,0,0.28,7131.99,0.5292,0,550.45,6.3126,0,0.0,2,38.0,38,syn-yd-2023-6967674,secondary,서울 영등포구 여의도동(여의교교차로 부근)
pos-2022-6836466,1,2022,170,37.5293408,126.968288,0,0.28,3804.15,0.5292,0,537.02,6.2879,0,0.0,1,29.0,30,syn-yd-2023-6967674,secondary,서울 영등포구 여의도동(여의교교차로 부근)
pos-2022-6836467,1,2022,170,37.522169,126.9618611,0,0.28,3029.69,0.5292,0,443.98,6.098,0,0.0,0,0.0,26,syn-yd-2023-6967674,secondary,서울 영등포구 여의도동(여의교교차로 부근)
pos-2022-6836470,1,2022,200,37.5440057,127.0355467,0,0.34,9858.63,0.6653,0,710.9,6.5679,0,0.0,2,37.5,37,3501814,trunk,섬유도로
